Date	faction	initiator	crime	result
06:11:52 29/08/21	Vulpes Vulpes	tyl	assassinate someone	failure
06:10:53 21/08/21	Vulpes Vulpes	byrod	assassinate someone	success
06:10:28 13/08/21	Vulpes Vulpes	archimede	assassinate someone	success
04:11:40 05/08/21	Vulpes Vulpes	NurseElle	assassinate someone	success
04:10:40 28/07/21	Vulpes Vulpes	gators87	assassinate someone	success
04:10:29 20/07/21	Vulpes Vulpes	gators87	assassinate someone	success
03:33:02 12/07/21	Vulpes Vulpes	NurseElle	assassinate someone	success
03:29:21 04/07/21	Vulpes Vulpes	gators87	assassinate someone	success
03:06:14 26/06/21	Vulpes Vulpes	gators87	assassinate someone	success
02:31:23 18/06/21	Vulpes Vulpes	gators87	assassinate someone	failure
02:24:13 10/06/21	Vulpes Vulpes	archimede	assassinate someone	success
02:23:45 02/06/21	Vulpes Vulpes	gators87	assassinate someone	failure
01:44:07 25/05/21	Vulpes Vulpes	archimede	assassinate someone	success
00:47:14 17/05/21	Vulpes Vulpes	gators87	assassinate someone	success
00:30:12 09/05/21	Vulpes Vulpes	Yogi	assassinate someone	failure
20:37:02 21/04/21	Vulpes Vulpes	Alfi	assassinate someone	success
20:36:55 13/04/21	Vulpes Vulpes	Rataplan	assassinate someone	success
20:35:09 05/04/21	Vulpes Vulpes	Milkbeard	assassinate someone	success
20:33:59 28/03/21	Vulpes Vulpes	archimede	assassinate someone	success
20:33:45 20/03/21	Vulpes Vulpes	Mud	assassinate someone	success
20:32:34 12/03/21	Vulpes Vulpes	Alfi	assassinate someone	success
20:32:26 04/03/21	Vulpes Vulpes	gators87	assassinate someone	success
20:31:57 24/02/21	Vulpes Vulpes	Alfi	assassinate someone	failure
20:25:40 16/02/21	Vulpes Vulpes	Rataplan	assassinate someone	success
20:25:01 08/02/21	Vulpes Vulpes	Rataplan	assassinate someone	success
19:15:01 24/01/21	JUX HQ	Kuro	assassinate someone	success
19:00:22 16/01/21	JUX HQ	CloudJumper	assassinate someone	success
08:36:22 06/01/21	JUX HQ	Kuro	assassinate someone	success
08:34:54 29/12/20	JUX HQ	Nazgul015	assassinate someone	success
07:52:04 21/12/20	JUX HQ	Roger_Wilco	assassinate someone	failure
06:41:09 13/12/20	JUX HQ	Kuro	assassinate someone	failure
05:55:10 05/12/20	JUX HQ	Kuro	assassinate someone	success
19:50:16 26/11/20	JUX HQ	conanait	assassinate someone	success
19:48:36 18/11/20	JUX HQ	Greyhame	assassinate someone	success
